locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Łódź Bałuty,ul. Rojna,2,45,450000,9971,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-rojna-2-pokojowe-h9f2r5,https://s2.adresowa.pl/oi/60/59/3aade6_e4da_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-rojna.jpg
Łódź Górna,ul. Granitowa,2,52,458000,8808,Bez pośredników,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-granitowa-2-pokojowe-n4j9j7,https://s2.adresowa.pl/oi/2a/62/3aadd4_8a35_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-granitowa.jpg
Łódź Dąbrowa,ul. Konspiracyjnego Wojska Polskiego,2,43,329000,7605,Oferta biura nieruchomości,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-konspiracyjnego-wojska-polskiego-2-pokojowe-w0m8k5,https://s2.adresowa.pl/oi/1d/2c/3a9844_eadb_cover-2-pokojowe-mieszkanie-lodz-dabrowa-ul-konspiracyjnego-wojska-polskiego.jpg
Łódź Retkinia,al. ks. kard. Stefana Wyszyńskiego,1,31,289000,9341,Oferta biura nieruchomości,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-retkinia-al-ks-kard-stefana-wyszynskiego-1-pokoj-v1p1f2,https://s2.adresowa.pl/oi/2b/4b/3a93aa_3f6d_cover-1-pokojowe-mieszkanie-lodz-retkinia-al-ks-kard-stefana-wyszynskiego.jpg
Łódź Widzew,ul. Rysy,2,45,490000,10889,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-rysy-2-pokojowe-z7t0w2,https://s2.adresowa.pl/oi/57/5e/3aad96_e2aa_cover-2-pokojowe-mieszkanie-lodz-widzew-ul-rysy.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Stoki,,1,39,229000,5872,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-stoki-1-pokoj-39-m2-g2q1w1,https://s2.adresowa.pl/oi/31/71/3aab9a_c29d_cover-1-pokojowe-mieszkanie-lodz-stoki.jpg
Łódź Bałuty,ul. Młynarska,2,26,250000,9615,Bez pośredników,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-mlynarska-2-pokojowe-k4y6a9,https://s2.adresowa.pl/oi/4d/40/3aab92_38d4_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-mlynarska.jpg
Łódź Górna,ul. Zbaraska,1,27,279000,10265,Oferta biura nieruchomości,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-zbaraska-1-pokoj-o1v8m9,https://s2.adresowa.pl/oi/1b/5c/3a8dd6_3be7_cover-1-pokojowe-mieszkanie-lodz-gorna-ul-zbaraska.jpg
Łódź Julianów,ul. Żabia,4,99,897360,9030,Oferta biura nieruchomości,ponad tydzień temu,22,https://adresowo.pl/o/mieszkanie-lodz-julianow-ul-zabia-4-pokojowe-p5x8t9,https://s2.adresowa.pl/oi/65/68/3a8ac6_a63f_cover-4-pokojowe-mieszkanie-lodz-julianow-ul-zabia.jpg
Łódź Bałuty,,1,30,206000,6950,Bez pośredników,ponad tydzień temu,4,https://adresowo.pl/o/mieszkanie-lodz-baluty-1-pokoj-29-m2-x3a1y4,https://s2.adresowa.pl/oi/77/1b/3aaaaa_5c55_cover-1-pokojowe-mieszkanie-lodz-baluty.jpg
Łódź Retkinia,ul. Retkińska,2,42,399000,9500,Bez pośredników,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-retkinska-2-pokojowe-h5w1z0,https://s2.adresowa.pl/oi/72/13/3aaaa0_90c4_cover-2-pokojowe-mieszkanie-lodz-retkinia-ul-retkinska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź Górna,ul. Lokatorska,2,44,280000,6422,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-lokatorska-2-pokojowe-g5h3t1,https://s2.adresowa.pl/oi/25/49/3aaa2a_60eb_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-lokatorska.jpg
Łódź Polesie,ul. 6 Sierpnia,2,43,399360,9320,Oferta biura nieruchomości,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-lodz-polesie-ul-6-sierpnia-2-pokojowe-m3x2y1,https://s2.adresowa.pl/oi/58/41/3a8ac2_88bf_cover-2-pokojowe-mieszkanie-lodz-polesie-ul-6-sierpnia.jpg
Łódź Chojny,ul. Bałtycka,2,44,399000,9007,Oferta biura nieruchomości,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-baltycka-2-pokojowe-f5b7s1,https://s2.adresowa.pl/oi/71/74/3a80f8_f670_cover-2-pokojowe-mieszkanie-lodz-chojny-ul-baltycka.jpg
Łódź Górna,ul. Alojzego Felińskiego,2,36,320000,8889,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-alojzego-felinskiego-2-pokojowe-n6a4h5,https://s2.adresowa.pl/oi/60/76/3aaa26_d9cb_cover-2-pokojowe-mieszkanie-lodz-gorna-ul-alojzego-felinskiego.jpg
Łódź Teofilów,ul. Plantowa,2,45,315000,7000,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-teofilow-ul-plantowa-2-pokojowe-x1x4x8,https://s2.adresowa.pl/oi/34/44/3aa948_e064_cover-2-pokojowe-mieszkanie-lodz-teofilow-ul-plantowa.jpg
Łódź Bałuty,ul. Wici,2,45,279000,6200,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-wici-2-pokojowe-y0j6r8,https://s2.adresowa.pl/oi/11/3a/3aa8e8_ac7c_cover-2-pokojowe-mieszkanie-lodz-baluty-ul-wici.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Łódź,ul. Pasterska,1,42,370000,8726,Oferta biura nieruchomości,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-lodz-ul-pasterska-1-pokoj-o4d9k0,https://s2.adresowa.pl/oi/74/1f/3a7afc_8fc5_cover-1-pokojowe-mieszkanie-lodz-ul-pasterska.jpg
