locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Gdańsk Zaspa,ul. Pilotów,2,33,633000,18952,Bez pośredników,6 dni temu,13,https://adresowo.pl/o/mieszkanie-gdansk-zaspa-ul-pilotow-2-pokojowe-f5k7k5,https://s2.adresowa.pl/oi/3d/14/3b1b02_78cc_cover-2-pokojowe-mieszkanie-gdansk-zaspa-ul-pilotow.jpg
Gdańsk Oliwa,ul. Bolesława Krzywoustego,2,31,600000,19355,Bez pośredników,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-gdansk-oliwa-ul-boleslawa-krzywoustego-2-pokojowe-o4l5i4,https://s2.adresowa.pl/oi/3b/4a/3b193a_564c_cover-2-pokojowe-mieszkanie-gdansk-oliwa-ul-boleslawa-krzywoustego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Orunia Górna,ul. Kazimierza Wielkiego,1,33,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-1-pokoj-e5d4o5,https://s2.adresowa.pl/development/668314/nowe-mieszkania-poludnie-vita-98f8_cover.jpg
Gdańsk Letnica,ul. Starowiejska,2,32,560000,17500,Oferta biura nieruchomości,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-gdansk-letnica-ul-starowiejska-2-pokojowe-q7a0o9,https://s2.adresowa.pl/oi/4f/53/3aede2_a491_cover-2-pokojowe-mieszkanie-gdansk-letnica-ul-starowiejska.jpg
Gdańsk Chełm,ul. Anny Jagiellonki,2,33,485000,14697,Oferta biura nieruchomości,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-gdansk-chelm-ul-anny-jagiellonki-2-pokojowe-c2o8i8,https://s2.adresowa.pl/oi/2b/47/3aea88_4aaa_cover-2-pokojowe-mieszkanie-gdansk-chelm-ul-anny-jagiellonki.jpg
Gdańsk Nowy Port,ul. Oliwska,2,34,430000,12647,Bez pośredników,ponad tydzień temu,18,https://adresowo.pl/o/mieszkanie-gdansk-nowy-port-ul-oliwska-2-pokojowe-y0x5j6,https://s2.adresowa.pl/oi/67/4d/3b189c_3870_cover-2-pokojowe-mieszkanie-gdansk-nowy-port-ul-oliwska.jpg
Gdańsk Morena,ul. Związku Jaszczurczego,3,63,639000,10095,Bez pośredników,ponad tydzień temu,13,https://adresowo.pl/o/mieszkanie-gdansk-morena-ul-zwiazku-jaszczurczego-3-pokojowe-o6j6i3,https://s2.adresowa.pl/oi/10/12/3b0886_4bc4_cover-3-pokojowe-mieszkanie-gdansk-morena-ul-zwiazku-jaszczurczego.jpg
Gdańsk Orunia Górna,ul. Kazimierza Wielkiego,4,87,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-4-pokojowe-z1u8g8,https://s2.adresowa.pl/development/668314/nowe-mieszkania-poludnie-vita-98f8_cover.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Oliwa,al. Grunwaldzka,3,56,795000,14311,Oferta biura nieruchomości,ponad tydzień temu,20,https://adresowo.pl/o/mieszkanie-gdansk-oliwa-al-grunwaldzka-3-pokojowe-y8y6a7,https://s2.adresowa.pl/oi/62/3b/3aea1e_fef8_cover-3-pokojowe-mieszkanie-gdansk-oliwa-al-grunwaldzka.jpg
Gdańsk Orunia,ul. Granitowa,1,16,299000,19045,Oferta biura nieruchomości,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-gdansk-orunia-ul-granitowa-1-pokoj-u4o9v0,https://s2.adresowa.pl/oi/15/2d/3ae2e4_edc5_cover-1-pokojowe-mieszkanie-gdansk-orunia-ul-granitowa.jpg
Gdańsk Maćkowy,ul. Kazimierza Wielkiego,3,63,800000,12698,Bez pośredników,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-gdansk-mackowy-ul-kazimierza-wielkiego-3-pokojowe-g2u9r0,https://s2.adresowa.pl/oi/2b/45/3b1434_5aa5_cover-3-pokojowe-mieszkanie-gdansk-mackowy-ul-kazimierza-wielkiego.jpg
Gdańsk Osowa,ul. Galaktyczna,2,38,574800,15000,Bez pośredników,ponad tydzień temu,4,https://adresowo.pl/o/mieszkanie-gdansk-osowa-ul-galaktyczna-2-pokojowe-s9l3x8,https://s2.adresowa.pl/oi/59/52/3b0ecc_cebc_cover-2-pokojowe-mieszkanie-gdansk-osowa-ul-galaktyczna.jpg
Gdańsk Orunia Górna,ul. Kazimierza Wielkiego,5,121,zapytaj o cenę,,Bez pośredników,,6,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-5-pokojowe-u6o4q0,https://s2.adresowa.pl/development/668314/nowe-mieszkania-poludnie-vita-98f8_cover.jpg
Gdańsk Łostowice,ul. Zbigniewa Podleckiego,3,50,635000,12599,Oferta biura nieruchomości,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-zbigniewa-podleckiego-3-pokojowe-o5q0x9,https://s2.adresowa.pl/oi/76/13/3adec4_2c22_cover-3-pokojowe-mieszkanie-gdansk-lostowice-ul-zbigniewa-podleckiego.jpg
Gdańsk Śródmieście,ul. Sienna Grobla,1,26,679000,25710,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-sienna-grobla-1-pokoj-l6q3o1,https://s2.adresowa.pl/oi/2f/6c/3adc50_2897_cover-1-pokojowe-mieszkanie-gdansk-srodmiescie-ul-sienna-grobla.jpg
Gdańsk Morena,ul. Franciszka Rakoczego,2,40,730000,18114,Bez pośredników,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-gdansk-morena-ul-franciszka-rakoczego-2-pokojowe-b6r2y7,https://s2.adresowa.pl/oi/3f/22/3a5ae8_733a_cover-2-pokojowe-mieszkanie-gdansk-morena-ul-franciszka-rakoczego.jpg
Gdańsk Jasień,ul. Kartuska,2,38,585000,15600,Bez pośredników,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-kartuska-2-pokojowe-g3a8b9,https://s2.adresowa.pl/oi/7d/76/3b0b22_49e1_cover-2-pokojowe-mieszkanie-gdansk-jasien-ul-kartuska.jpg
Gdańsk Orunia Górna,ul. Granitowa,3,47,609000,12957,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-granitowa-3-pokojowe-j2g9o8,https://s2.adresowa.pl/oi/60/5e/3b0aec_f911_cover-3-pokojowe-mieszkanie-gdansk-orunia-gorna-ul-granitowa.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/gdansk/orunia-gorna/,
Gdańsk Żabianka,ul. Chłopska,3,61,1380000,22512,Bez pośredników,ponad tydzień temu,24,https://adresowo.pl/o/mieszkanie-gdansk-zabianka-ul-chlopska-3-pokojowe-u5c1o6,https://s2.adresowa.pl/oi/40/32/3b0ab4_3318_cover-3-pokojowe-mieszkanie-gdansk-zabianka-ul-chlopska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
