locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Kraków,,1,26,385500,14827,Oferta biura nieruchomości,4 dni temu,5,https://adresowo.pl/o/mieszkanie-krakow-1-pokoj-26-m2-l7q1m7,https://s2.adresowa.pl/oi/68/73/3b117a_9630_cover-1-pokojowe-mieszkanie-krakow.jpg
Kraków Grzegórzki,ul. Rakowicka,2,36,860400,23900,Bez pośredników,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-krakow-grzegorzki-ul-rakowicka-2-pokojowe-q8s2i2,https://s2.adresowa.pl/oi/7f/38/3b09fa_9ec8_cover-2-pokojowe-mieszkanie-krakow-grzegorzki-ul-rakowicka.jpg
Kraków Grzegórzki,,3,69,1400000,20290,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-krakow-grzegorzki-3-pokojowe-69-m2-h4f6p4,https://s2.adresowa.pl/oi/44/2b/3b09ac_9c30_cover-3-pokojowe-mieszkanie-krakow-grzegorzki.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków Czyżyny,ul. Romana Ciesielskiego,2,37,zapytaj o cenę,,Bez pośredników,,14,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-ul-romana-ciesielskiego-2-pokojowe-u3i9k1,https://s2.adresowa.pl/development/671242/nowe-mieszkania-centralna-vita-def1_cover.jpg
Kraków Mistrzejowice,ul. Powstańców,2,42,639000,15214,Oferta biura nieruchomości,4 dni temu,23,https://adresowo.pl/o/mieszkanie-krakow-mistrzejowice-ul-powstancow-2-pokojowe-t7v5l1,https://s2.adresowa.pl/oi/75/5b/3b117c_83bf_cover-2-pokojowe-mieszkanie-krakow-mistrzejowice-ul-powstancow.jpg
Kraków Prądnik Biały,,4,67,894071,13344,Oferta biura nieruchomości,4 dni temu,4,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-4-pokojowe-67-m2-m7d6v4,https://s2.adresowa.pl/oi/56/5d/3b1178_f04f_cover-4-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Swoszowice,ul. Kolejarzy,1,28,510000,18214,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-krakow-swoszowice-ul-kolejarzy-1-pokoj-b5u5d2,https://s2.adresowa.pl/oi/55/33/3b06ae_825a_cover-1-pokojowe-mieszkanie-krakow-swoszowice-ul-kolejarzy.jpg
Kraków Azory,ul. Gnieźnieńska,2,36,450000,12500,Bez pośredników,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-krakow-azory-ul-gnieznienska-2-pokojowe-r8c7s8,https://s2.adresowa.pl/oi/12/5f/3b0594_9cfe_cover-2-pokojowe-mieszkanie-krakow-azory-ul-gnieznienska.jpg
Kraków Czyżyny,ul. Romana Ciesielskiego,3,52,zapytaj o cenę,,Bez pośredników,,14,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-ul-romana-ciesielskiego-3-pokojowe-z3t9m8,https://s2.adresowa.pl/development/671242/nowe-mieszkania-centralna-vita-def1_cover.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków,,2,39,568400,14574,Oferta biura nieruchomości,4 dni temu,5,https://adresowo.pl/o/mieszkanie-krakow-2-pokojowe-39-m2-m7c1v0,https://s2.adresowa.pl/oi/23/42/3b1176_8d29_cover-2-pokojowe-mieszkanie-krakow.jpg
Kraków Prądnik Biały,,1,27,440051,16298,Oferta biura nieruchomości,4 dni temu,4,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-1-pokoj-27-m2-u3o1i9,https://s2.adresowa.pl/oi/3b/25/3b1174_f6ff_cover-1-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Mistrzejowice,os. Piastów,2,35,560000,16148,Bez pośredników,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-krakow-mistrzejowice-os-piastow-2-pokojowe-z7n8u8,https://s2.adresowa.pl/oi/5c/31/3b020c_e53d_cover-2-pokojowe-mieszkanie-krakow-mistrzejowice-os-piastow.jpg
Kraków Górka Narodowa,ul. Górka Narodowa,6,134,1605600,12000,Bez pośredników,ponad tydzień temu,4,https://adresowo.pl/o/mieszkanie-krakow-gorka-narodowa-ul-gorka-narodowa-6-pokojowe-g7c6r6,https://s2.adresowa.pl/oi/20/65/3b0154_af91_cover-6-pokojowe-mieszkanie-krakow-gorka-narodowa-ul-gorka-narodowa.jpg
Kraków Krowodrza,ul. Żabiniec,3,61,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-zabiniec-3-pokojowe-f4w7r8,https://s2.adresowa.pl/development/671656/nowe-mieszkania-zabiniec-vita-c08d_cover.jpg
Kraków Prądnik Biały,,2,35,518800,14823,Oferta biura nieruchomości,4 dni temu,3,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-2-pokojowe-35-m2-m6i2u5,https://s2.adresowa.pl/oi/4a/11/3b116e_464f_cover-2-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Prądnik Biały,,2,39,587900,15074,Oferta biura nieruchomości,5 dni temu,4,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-2-pokojowe-39-m2-f4x0s0,https://s2.adresowa.pl/oi/24/1f/3b10fa_2c0f_cover-2-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Żabiniec,ul. Feliksa Konecznego,2,64,890000,13906,Bez pośredników,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-krakow-zabiniec-ul-feliksa-konecznego-2-pokojowe-f4x5p0,https://s2.adresowa.pl/oi/10/22/3ab5ea_a3fd_cover-2-pokojowe-mieszkanie-krakow-zabiniec-ul-feliksa-konecznego.jpg
Kraków Górka Narodowa,ul. Górka Narodowa,6,174,1910040,11000,Bez pośredników,ponad tydzień temu,4,https://adresowo.pl/o/mieszkanie-krakow-gorka-narodowa-ul-gorka-narodowa-6-pokojowe-p4h7i0,https://s2.adresowa.pl/oi/2f/27/3b0148_dcd6_cover-6-pokojowe-mieszkanie-krakow-gorka-narodowa-ul-gorka-narodowa.jpg
Kraków Górka Narodowa,ul. Górka Narodowa,5,106,1272600,12000,Bez pośredników,ponad tydzień temu,4,https://adresowo.pl/o/mieszkanie-krakow-gorka-narodowa-ul-gorka-narodowa-5-pokojowe-d5i4a2,https://s2.adresowa.pl/oi/30/76/3b0056_92c4_cover-5-pokojowe-mieszkanie-krakow-gorka-narodowa-ul-gorka-narodowa.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/krakow/czyzyny/,
Kraków Płaszów,ul. Myśliwska,3,48,zapytaj o cenę,,Bez pośredników,,25,https://adresowo.pl/o/mieszkanie-krakow-plaszow-ul-mysliwska-3-pokojowe-r0q0y5,https://s2.adresowa.pl/development/671244/nowe-mieszkania-city-vibe-f7f8_cover.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków Bieńczyce,ul. Bolesława Orlińskiego,2,38,599000,15763,Oferta biura nieruchomości,5 dni temu,2,https://adresowo.pl/o/mieszkanie-krakow-bienczyce-ul-boleslawa-orlinskiego-2-pokojowe-t4x0o7,https://s2.adresowa.pl/oi/5b/4c/3b10e6_3597_cover-2-pokojowe-mieszkanie-krakow-bienczyce-ul-boleslawa-orlinskiego.jpg
Kraków Prądnik Biały,,2,37,572400,15470,Oferta biura nieruchomości,5 dni temu,3,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-2-pokojowe-37-m2-f3y2i5,https://s2.adresowa.pl/oi/16/3f/3b10d8_ed6b_cover-2-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Łagiewniki,ul. Sucha,1,21,495000,23261,Bez pośredników,ponad tydzień temu,17,https://adresowo.pl/o/mieszkanie-krakow-lagiewniki-ul-sucha-1-pokoj-u7z2y4,https://s2.adresowa.pl/oi/6c/47/3afee0_7183_cover-1-pokojowe-mieszkanie-krakow-lagiewniki-ul-sucha.jpg
Kraków Podgórze Duchackie,ul. Jana Sas-Zubrzyckiego,3,62,659000,10629,Bez pośredników,ponad tydzień temu,17,https://adresowo.pl/o/mieszkanie-krakow-podgorze-duchackie-ul-jana-sas-zubrzyckiego-3-pokojowe-x0p1p7,https://s2.adresowa.pl/oi/12/50/3afe5a_28ee_cover-3-pokojowe-mieszkanie-krakow-podgorze-duchackie-ul-jana-sas-zubrzyckiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków Bieżanów,ul. Henryka i Karola Czeczów,3,56,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-krakow-biezanow-ul-henryka-i-karola-czeczow-3-pokojowe-o9g9z9,https://s2.adresowa.pl/development/449945/nowe-mieszkania-sloneczne-miasteczko-c8e4_cover.jpg
Kraków Prądnik Biały,,4,59,810700,13741,Oferta biura nieruchomości,5 dni temu,3,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-4-pokojowe-59-m2-p1b7x4,https://s2.adresowa.pl/oi/79/16/3b10d4_3533_cover-4-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Prądnik Biały,,2,38,575500,15145,Oferta biura nieruchomości,5 dni temu,3,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-2-pokojowe-38-m2-l7h8b0,https://s2.adresowa.pl/oi/6d/6f/3b10d6_3ff3_cover-2-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Krowodrza,ul. Józefa Friedleina,2,54,1280000,23616,Bez pośredników,ponad tydzień temu,19,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-jozefa-friedleina-2-pokojowe-w3u5g6,https://s2.adresowa.pl/oi/2a/5f/3afdb6_5695_cover-2-pokojowe-mieszkanie-krakow-krowodrza-ul-jozefa-friedleina.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków Prądnik Czerwony,,3,61,819000,13426,Bez pośredników,ponad tydzień temu,3,https://adresowo.pl/o/mieszkanie-krakow-pradnik-czerwony-3-pokojowe-61-m2-s7c6m7,https://s2.adresowa.pl/oi/3b/3c/3afd88_590c_cover-3-pokojowe-mieszkanie-krakow-pradnik-czerwony.jpg
Kraków Krowodrza,ul. Żabiniec,1,34,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-zabiniec-1-pokoj-a8k2c3,https://s2.adresowa.pl/development/671656/nowe-mieszkania-zabiniec-vita-c08d_cover.jpg
Kraków Prądnik Biały,,1,27,452700,16767,Oferta biura nieruchomości,5 dni temu,3,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-1-pokoj-27-m2-s0h4g8,https://s2.adresowa.pl/oi/6c/27/3b10ce_ea0c_cover-1-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Prądnik Biały,,2,38,573900,15103,Oferta biura nieruchomości,5 dni temu,3,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-2-pokojowe-38-m2-o5i4b7,https://s2.adresowa.pl/oi/62/4e/3b10d0_83b3_cover-2-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Dąbie,ul. Widok,2,45,600000,13333,Bez pośredników,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-krakow-dabie-ul-widok-2-pokojowe-g4b4s2,https://s2.adresowa.pl/oi/41/51/3afd4a_a1f7_cover-2-pokojowe-mieszkanie-krakow-dabie-ul-widok.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków Prokocim,ul. Jana Kozietulskiego,2,54,710000,13148,Bez pośredników,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-krakow-prokocim-ul-jana-kozietulskiego-2-pokojowe-g3i6q9,https://s2.adresowa.pl/oi/74/1a/3afc64_5670_cover-2-pokojowe-mieszkanie-krakow-prokocim-ul-jana-kozietulskiego.jpg
Kraków Czyżyny,ul. Romana Ciesielskiego,1,34,zapytaj o cenę,,Bez pośredników,,14,https://adresowo.pl/o/mieszkanie-krakow-czyzyny-ul-romana-ciesielskiego-1-pokoj-u4w0o5,https://s2.adresowa.pl/development/671242/nowe-mieszkania-centralna-vita-def1_cover.jpg
Kraków Prądnik Biały,,3,50,695600,13912,Oferta biura nieruchomości,5 dni temu,4,https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-3-pokojowe-50-m2-z4v4r5,https://s2.adresowa.pl/oi/63/31/3b10d2_be00_cover-3-pokojowe-mieszkanie-krakow-pradnik-bialy.jpg
Kraków Podgórze,,4,65,1015300,15620,Oferta biura nieruchomości,6 dni temu,10,https://adresowo.pl/o/mieszkanie-krakow-podgorze-4-pokojowe-65-m2-p7m0f9,https://s2.adresowa.pl/oi/69/79/3b1016_662d_cover-4-pokojowe-mieszkanie-krakow-podgorze.jpg
Kraków Azory,ul. Józefa Elsnera,1,25,430000,17551,Bez pośredników,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-krakow-azory-ul-jozefa-elsnera-1-pokoj-p5j1l9,https://s2.adresowa.pl/oi/7d/4d/3afc16_b1b2_cover-1-pokojowe-mieszkanie-krakow-azory-ul-jozefa-elsnera.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Kraków Kozłówek,ul. prof. Tadeusza Seweryna,1,25,490000,19600,Bez pośredników,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-krakow-kozlowek-ul-prof-tadeusza-seweryna-1-pokoj-v0z5t7,https://s2.adresowa.pl/oi/18/4c/3afa98_b59b_cover-1-pokojowe-mieszkanie-krakow-kozlowek-ul-prof-tadeusza-seweryna.jpg
Kraków Krowodrza,ul. Żabiniec,4,95,zapytaj o cenę,,Bez pośredników,,7,https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-zabiniec-4-pokojowe-a0u8m1,https://s2.adresowa.pl/development/671656/nowe-mieszkania-zabiniec-vita-c08d_cover.jpg
